shipment_id,order_id,shipping_partner,shipping_cost,dispatch_date,delivery_date
47,142,BlueDart,147,2023-10-13,2023-10-16
48,430,Ekart,119,2024-02-10,2024-02-17
49,532,BlueDart,190,2024-04-23,2024-04-28
50,2339,BlueDart,70,2024-04-25,2024-04-27
51,1220,Delhivery,138,2024-11-17,2024-11-25
52,2510,Ekart,161,2025-04-29,2025-05-01
53,2742,Delhivery,78,2024-01-25,2024-01-28
54,2502,Ekart,107,2025-05-27,2025-06-04
55,1204,Ekart,90,2023-03-26,2023-03-28
56,2005,BlueDart,198,2024-04-21,2024-04-23
57,2705,Delhivery,124,2024-02-29,2024-03-09
58,44,DTDC,83,2023-07-30,2023-08-06
59,974,Ekart,141,2024-04-06,2024-04-10
60,2735,DTDC,42,2023-10-02,2023-10-09
61,1205,Delhivery,61,2024-07-04,2024-07-11
62,2397,DTDC,121,2024-08-30,2024-09-01
63,3084,BlueDart,87,2024-02-07,2024-02-12
64,2758,Delhivery,69,2024-02-18,2024-02-27
65,316,Ekart,69,2025-04-13,2025-04-22
66,737,DTDC,85,2023-12-22,2023-12-26
67,3263,DTDC,192,2024-08-18,2024-08-21
68,1193,BlueDart,195,2023-05-23,2023-05-27
69,582,Ekart,58,2023-12-23,2023-12-28
70,2261,DTDC,139,2024-03-29,2024-04-05
71,355,Ekart,164,2024-05-16,2024-05-24
72,663,Ekart,173,2023-06-13,2023-06-19
73,3352,DTDC,150,2024-06-16,2024-06-21
74,58,BlueDart,100,2024-05-26,2024-06-05
75,2716,BlueDart,89,2023-10-17,2023-10-19
76,1933,DTDC,68,2024-06-07,2024-06-12
77,1441,DTDC,146,2025-05-03,2025-05-07
78,2140,Delhivery,178,2024-02-20,2024-02-28
79,91,DTDC,125,2024-05-07,2024-05-14
80,978,Delhivery,87,2023-02-22,2023-02-24
81,3325,Ekart,43,2023-05-27,2023-06-05
82,2523,Delhivery,111,2023-07-26,2023-08-03
83,1927,BlueDart,183,2025-06-13,2025-06-15
84,147,DTDC,62,2023-08-29,2023-09-03
85,1085,BlueDart,160,2023-05-26,2023-05-29
86,1183,DTDC,185,2024-04-05,2024-04-09
87,933,BlueDart,144,2024-08-15,2024-08-19
88,2965,Ekart,186,2024-12-21,2024-12-31
89,1343,DTDC,146,2023-09-24,2023-09-28
90,3037,BlueDart,103,2025-06-16,2025-06-20
91,1619,BlueDart,76,2025-01-18,2025-01-28
92,3081,DTDC,84,2023-11-13,2023-11-15
93,3270,Ekart,196,2024-06-11,2024-06-14
94,2058,Delhivery,168,2023-04-18,2023-04-26
95,105,Delhivery,193,2024-08-26,2024-09-05
96,2189,Ekart,44,2024-07-28,2024-07-30
97,2560,DTDC,85,2023-08-01,2023-08-06
98,1793,Ekart,124,2023-05-31,2023-06-06
99,3396,DTDC,132,2023-05-11,2023-05-15
100,2467,DTDC,165,2023-09-23,2023-09-27
101,953,DTDC,85,2025-03-27,2025-03-31
102,760,Ekart,129,2023-06-01,2023-06-04
103,976,Delhivery,64,2023-05-30,2023-06-06
104,1608,BlueDart,185,2024-09-25,2024-09-30
105,1813,Delhivery,61,2023-09-17,2023-09-24
106,2887,Ekart,57,2024-11-12,2024-11-20
107,1729,DTDC,84,2023-01-05,2023-01-15
108,3175,Delhivery,97,2023-10-31,2023-11-07
109,817,DTDC,41,2024-08-18,2024-08-26
110,3013,Ekart,78,2023-12-16,2023-12-25
111,2628,DTDC,118,2024-08-11,2024-08-19
112,1962,Delhivery,94,2023-03-09,2023-03-12
113,552,DTDC,79,2024-11-05,2024-11-07
114,792,Delhivery,177,2025-01-24,2025-01-27
115,1078,Ekart,53,2024-02-14,2024-02-21
116,3176,DTDC,188,2024-02-25,2024-03-01
117,2847,Ekart,56,2024-11-11,2024-11-21
118,1550,Ekart,130,2024-04-14,2024-04-22
119,2540,DTDC,145,2024-09-25,2024-09-28
120,2398,Delhivery,87,2024-03-29,2024-04-06
121,565,Ekart,118,2023-07-22,2023-07-30
122,2344,Delhivery,114,2024-12-27,2025-01-03
123,961,Ekart,90,2024-04-06,2024-04-08
124,2785,Ekart,195,2023-09-15,2023-09-19
125,425,BlueDart,150,2025-05-22,2025-05-30
126,810,DTDC,160,2023-05-03,2023-05-12
127,3130,BlueDart,86,2023-10-06,2023-10-12
128,595,Ekart,73,2023-04-12,2023-04-16
129,2645,BlueDart,171,2023-04-21,2023-04-30
130,380,BlueDart,105,2024-11-15,2024-11-17
131,1818,DTDC,123,2023-07-28,2023-07-31
132,414,Ekart,178,2023-02-02,2023-02-06
133,969,Ekart,43,2025-01-16,2025-01-26
134,2074,BlueDart,83,2025-01-23,2025-01-28
135,1942,Ekart,120,2023-04-14,2023-04-16
136,849,Delhivery,95,2025-01-23,2025-01-30
137,1302,BlueDart,115,2024-10-27,2024-11-04
138,923,Delhivery,194,2023-03-09,2023-03-18
139,2760,DTDC,98,2024-10-09,2024-10-12
140,3304,Ekart,154,2023-07-20,2023-07-27
141,2574,Ekart,94,2023-03-29,2023-04-05
142,996,BlueDart,122,2024-10-16,2024-10-26
143,1240,DTDC,179,2023-04-21,2023-04-30
144,2341,Delhivery,141,2023-05-25,2023-05-29
145,2210,Ekart,181,2023-05-17,2023-05-23
146,2818,Ekart,128,2023-02-12,2023-02-16
147,1888,DTDC,186,2023-05-02,2023-05-12
148,2813,Delhivery,149,2023-04-13,2023-04-23
149,3046,Ekart,192,2023-06-30,2023-07-07
150,2479,Ekart,122,2023-07-20,2023-07-23
151,1020,Ekart,65,2025-01-17,2025-01-25
152,821,DTDC,68,2023-08-11,2023-08-21
153,3223,DTDC,114,2023-08-17,2023-08-25
154,3477,DTDC,65,2024-01-31,2024-02-03
155,1759,Ekart,109,2025-04-25,2025-04-27
156,988,Delhivery,163,2023-08-20,2023-08-29
157,3082,DTDC,160,2024-11-15,2024-11-20
158,321,Ekart,163,2023-05-11,2023-05-20
159,17,BlueDart,59,2024-03-03,2024-03-10
160,714,Ekart,40,2023-04-21,2023-04-30
161,2716,DTDC,75,2024-12-04,2024-12-12
162,2434,BlueDart,53,2024-03-12,2024-03-21
163,1118,DTDC,83,2023-04-02,2023-04-12
164,2511,Delhivery,136,2023-07-20,2023-07-23
165,1818,Ekart,182,2024-07-19,2024-07-28
166,1578,DTDC,106,2024-12-07,2024-12-13
167,59,BlueDart,133,2025-03-08,2025-03-11
168,1412,DTDC,125,2023-09-10,2023-09-13
169,1337,Ekart,140,2025-03-29,2025-03-31
170,3433,Delhivery,115,2023-04-16,2023-04-24
171,2892,Ekart,52,2023-08-28,2023-09-07
172,929,BlueDart,136,2024-09-09,2024-09-18
173,1953,Ekart,152,2023-12-11,2023-12-17
174,1713,Ekart,62,2025-04-18,2025-04-20
175,1057,Delhivery,197,2023-05-13,2023-05-20
176,1445,DTDC,54,2024-02-06,2024-02-11
177,894,Ekart,81,2024-06-05,2024-06-12
178,2078,BlueDart,88,2025-02-12,2025-02-22
179,475,DTDC,164,2023-08-04,2023-08-08
180,2097,BlueDart,131,2023-08-10,2023-08-16
181,2195,Delhivery,195,2024-12-17,2024-12-24
182,1898,DTDC,103,2025-03-04,2025-03-13
183,2099,DTDC,187,2024-01-06,2024-01-16
184,607,Ekart,98,2023-05-26,2023-06-02
185,1998,BlueDart,147,2024-12-09,2024-12-17
186,1660,DTDC,64,2023-06-30,2023-07-10
187,315,DTDC,134,2024-04-17,2024-04-20
188,870,Ekart,128,2024-10-14,2024-10-21
189,800,Ekart,52,2024-09-12,2024-09-18
190,1741,Ekart,168,2024-11-12,2024-11-22
191,3189,Ekart,177,2024-11-04,2024-11-08
192,1692,DTDC,78,2023-08-30,2023-09-01
193,2133,Ekart,71,2023-12-08,2023-12-15
194,1830,Ekart,96,2024-08-17,2024-08-22
195,349,Ekart,80,2023-11-16,2023-11-19
196,292,Ekart,48,2023-12-31,2024-01-06
197,2375,DTDC,77,2024-02-16,2024-02-25
198,1276,Ekart,166,2023-05-27,2023-06-06
199,1072,Delhivery,134,2023-02-03,2023-02-09
200,651,DTDC,45,2025-02-01,2025-02-10
201,824,DTDC,150,2024-01-13,2024-01-19
202,1558,Delhivery,155,2025-04-13,2025-04-18
203,3234,DTDC,122,2024-11-05,2024-11-14
204,316,Delhivery,141,2024-11-14,2024-11-16
205,2884,Delhivery,199,2024-11-02,2024-11-09
206,3486,DTDC,83,2023-10-17,2023-10-19
207,3386,Ekart,144,2025-03-30,2025-04-04
208,421,Ekart,70,2024-01-07,2024-01-09
209,2917,DTDC,52,2025-01-28,2025-01-31
210,2103,BlueDart,53,2023-06-06,2023-06-10
211,2407,Delhivery,93,2023-05-27,2023-06-03
212,2533,BlueDart,189,2023-01-30,2023-02-01
213,2820,Delhivery,63,2023-12-31,2024-01-02
214,1245,DTDC,85,2024-03-27,2024-04-02
215,2527,Ekart,134,2024-08-08,2024-08-10
216,1319,DTDC,169,2023-05-10,2023-05-15
217,770,Ekart,196,2024-12-11,2024-12-13
218,2026,Ekart,120,2023-12-20,2023-12-29
219,1544,Ekart,74,2024-07-11,2024-07-17
220,3378,BlueDart,93,2024-01-27,2024-02-01
221,3373,Ekart,146,2023-09-09,2023-09-19
222,1404,BlueDart,114,2023-03-09,2023-03-11
223,2300,BlueDart,115,2023-07-24,2023-07-26
224,366,Delhivery,148,2023-08-02,2023-08-04
225,3255,Ekart,107,2023-02-20,2023-02-28
226,3296,BlueDart,133,2024-08-18,2024-08-20
227,2617,Ekart,70,2025-02-01,2025-02-06
228,1988,BlueDart,92,2024-11-30,2024-12-09
229,1167,Delhivery,156,2025-01-05,2025-01-10
230,455,Delhivery,200,2024-07-14,2024-07-18
231,3485,Delhivery,138,2024-06-28,2024-07-02
232,2747,BlueDart,185,2023-01-18,2023-01-26
233,676,DTDC,158,2023-08-14,2023-08-17
234,2601,Delhivery,61,2024-11-12,2024-11-22
235,2710,Delhivery,79,2025-04-04,2025-04-06
236,965,BlueDart,142,2024-07-08,2024-07-18
237,2365,Delhivery,75,2024-11-27,2024-12-06
238,3268,DTDC,195,2025-05-10,2025-05-17
239,1297,DTDC,119,2023-09-03,2023-09-10
240,1108,Delhivery,195,2024-11-06,2024-11-09
241,2685,Ekart,114,2024-11-28,2024-12-03
242,3197,DTDC,103,2024-04-07,2024-04-11
243,2425,BlueDart,118,2024-08-02,2024-08-10
244,3307,BlueDart,168,2023-01-18,2023-01-22
245,2877,Delhivery,97,2023-09-26,2023-09-30
246,289,Delhivery,106,2024-05-01,2024-05-08
247,1314,Delhivery,88,2023-01-11,2023-01-13
248,2549,DTDC,75,2024-11-22,2024-11-29
249,2135,Ekart,100,2024-01-21,2024-01-26
250,2361,Delhivery,138,2024-10-16,2024-10-19
251,3483,BlueDart,96,2025-01-05,2025-01-14
252,873,DTDC,138,2024-06-16,2024-06-20
253,1311,Ekart,178,2025-04-19,2025-04-24
254,2744,Ekart,187,2023-02-23,2023-02-27
255,1595,BlueDart,100,2024-02-05,2024-02-15
256,2283,Ekart,124,2024-01-06,2024-01-16
257,3028,Delhivery,40,2023-07-06,2023-07-08
258,2786,Ekart,117,2023-04-25,2023-05-02
259,3170,Ekart,165,2023-11-12,2023-11-22
260,2436,DTDC,109,2023-05-25,2023-05-27
261,234,DTDC,43,2024-01-11,2024-01-14
262,774,BlueDart,66,2024-11-25,2024-11-29
263,2960,DTDC,124,2024-10-29,2024-11-07
264,2521,BlueDart,128,2024-09-18,2024-09-20
265,3185,BlueDart,186,2023-09-15,2023-09-25
266,305,BlueDart,41,2023-01-27,2023-02-01
267,2831,Delhivery,98,2023-10-08,2023-10-11
268,2622,Delhivery,54,2024-05-13,2024-05-17
269,616,BlueDart,192,2025-02-09,2025-02-18
270,1400,Ekart,131,2025-04-17,2025-04-26
271,469,BlueDart,158,2023-06-09,2023-06-17
272,229,DTDC,195,2024-10-21,2024-10-23
273,1747,BlueDart,45,2025-02-27,2025-03-04
274,3264,Ekart,66,2023-07-05,2023-07-09
275,1913,DTDC,176,2024-02-01,2024-02-09
276,2552,Delhivery,82,2024-09-17,2024-09-21
277,2004,BlueDart,65,2023-10-20,2023-10-28
278,3496,Ekart,133,2023-08-01,2023-08-06
279,2364,BlueDart,199,2025-01-04,2025-01-11
280,1506,DTDC,80,2024-02-12,2024-02-19
281,262,Ekart,193,2024-08-16,2024-08-20
282,135,Ekart,59,2024-08-20,2024-08-26
283,3075,Ekart,93,2023-11-02,2023-11-11
284,3118,BlueDart,155,2024-03-25,2024-04-02
285,3117,Ekart,146,2024-07-22,2024-07-26
286,1197,Ekart,179,2025-02-27,2025-03-09
287,1755,DTDC,146,2023-11-16,2023-11-25
288,2391,DTDC,164,2024-01-02,2024-01-09
289,2962,Delhivery,183,2023-01-05,2023-01-12
290,1667,Delhivery,141,2025-06-01,2025-06-08
291,1901,Ekart,126,2024-09-05,2024-09-13
292,273,Delhivery,120,2023-04-12,2023-04-19
293,2525,DTDC,168,2023-05-21,2023-05-28
294,1870,BlueDart,148,2023-01-03,2023-01-09
295,1075,Ekart,51,2024-01-22,2024-01-31
296,3474,Delhivery,116,2025-01-16,2025-01-26
297,2821,Delhivery,200,2024-02-11,2024-02-19
298,1597,BlueDart,169,2023-08-14,2023-08-24
299,1521,Delhivery,146,2023-02-02,2023-02-08
300,583,Ekart,40,2025-02-20,2025-03-01
301,3272,Delhivery,197,2024-10-06,2024-10-10
302,647,BlueDart,68,2023-07-04,2023-07-11
303,756,Delhivery,84,2025-02-23,2025-02-28
304,2380,Ekart,137,2025-04-16,2025-04-22
305,3449,DTDC,102,2023-05-18,2023-05-27
306,1328,Ekart,170,2025-01-06,2025-01-09
307,1901,Delhivery,120,2023-09-27,2023-10-06
308,2746,Ekart,110,2023-04-10,2023-04-14
309,1515,BlueDart,179,2025-02-10,2025-02-20
310,1283,Ekart,168,2023-08-17,2023-08-22
311,2707,DTDC,191,2023-10-28,2023-10-31
312,1424,Ekart,76,2023-08-17,2023-08-24
313,547,Ekart,60,2024-07-17,2024-07-26
314,532,Delhivery,180,2023-01-08,2023-01-10
315,368,DTDC,103,2024-05-23,2024-05-29
316,3139,Delhivery,113,2023-03-06,2023-03-09
317,2488,BlueDart,148,2024-03-09,2024-03-14
318,3485,Delhivery,53,2023-01-27,2023-02-06
319,1289,Ekart,122,2024-11-16,2024-11-18
320,2479,Delhivery,198,2025-02-08,2025-02-16
321,2681,Delhivery,47,2024-04-08,2024-04-14
322,3469,DTDC,133,2024-12-22,2024-12-29
323,3181,Ekart,114,2024-06-16,2024-06-21
324,1465,BlueDart,62,2024-09-06,2024-09-12
325,68,BlueDart,44,2025-01-03,2025-01-09
326,2769,Delhivery,171,2024-06-05,2024-06-11
327,766,Ekart,109,2024-07-12,2024-07-20
328,2336,DTDC,84,2023-02-06,2023-02-15
329,1329,Ekart,119,2023-12-03,2023-12-05
330,490,Delhivery,186,2023-12-09,2023-12-12
331,840,DTDC,159,2024-04-13,2024-04-20
332,10,DTDC,47,2025-05-06,2025-05-15
333,2793,DTDC,190,2024-02-16,2024-02-19
334,1129,Ekart,65,2023-04-26,2023-05-01
335,704,Ekart,182,2025-04-16,2025-04-26
336,840,Ekart,190,2024-01-24,2024-01-31
337,3399,BlueDart,164,2024-01-09,2024-01-19
338,1897,DTDC,189,2025-01-24,2025-01-26
339,2537,BlueDart,146,2025-05-16,2025-05-20
340,2454,Ekart,139,2025-05-08,2025-05-11
341,2308,Delhivery,151,2024-11-19,2024-11-25
342,86,BlueDart,167,2025-05-21,2025-05-31
343,1740,Delhivery,83,2023-05-08,2023-05-10
344,2915,Delhivery,75,2023-08-19,2023-08-26
345,112,Ekart,190,2024-09-30,2024-10-06
346,2902,Delhivery,125,2025-03-07,2025-03-15
347,3200,Ekart,193,2024-04-25,2024-04-30
348,1071,Ekart,148,2023-07-19,2023-07-29
349,821,Ekart,185,2023-07-29,2023-08-07
350,2097,Delhivery,102,2024-12-12,2024-12-18
351,3000,DTDC,40,2024-07-07,2024-07-16
352,463,Delhivery,62,2024-07-28,2024-08-07
353,492,BlueDart,161,2025-01-08,2025-01-13
354,2499,BlueDart,91,2023-11-30,2023-12-04
355,385,BlueDart,110,2023-09-30,2023-10-05
356,334,Delhivery,159,2024-10-06,2024-10-15
357,3107,BlueDart,165,2025-02-19,2025-02-22
358,2062,BlueDart,102,2024-05-11,2024-05-19
359,3055,Delhivery,171,2024-06-06,2024-06-15
360,2969,BlueDart,84,2023-03-12,2023-03-17
361,3017,BlueDart,86,2023-02-21,2023-03-03
362,222,Ekart,101,2023-11-09,2023-11-15
363,1303,Delhivery,146,2023-04-25,2023-05-04
364,1047,DTDC,68,2024-08-23,2024-08-30
365,3290,Ekart,76,2025-02-16,2025-02-18
366,2739,Delhivery,43,2025-06-10,2025-06-17
367,2881,Ekart,82,2025-03-11,2025-03-15
368,546,DTDC,51,2023-10-09,2023-10-12
369,2894,BlueDart,200,2023-05-08,2023-05-18
370,3217,DTDC,166,2023-04-08,2023-04-13
371,2769,Ekart,48,2023-10-10,2023-10-15
372,919,DTDC,186,2023-03-02,2023-03-09
373,699,DTDC,97,2023-12-07,2023-12-10
374,914,Delhivery,99,2023-09-09,2023-09-16
375,1674,BlueDart,52,2024-05-27,2024-05-31
376,335,BlueDart,196,2024-10-05,2024-10-12
377,2822,Ekart,113,2024-05-13,2024-05-21
378,1655,Delhivery,138,2023-06-29,2023-07-02
379,1851,DTDC,82,2023-01-09,2023-01-11
380,179,Delhivery,73,2024-06-10,2024-06-14
381,1098,DTDC,150,2023-01-11,2023-01-20
382,1166,BlueDart,139,2025-01-06,2025-01-13
383,625,Delhivery,102,2025-04-28,2025-05-02
384,2965,Delhivery,66,2023-12-07,2023-12-09
385,983,DTDC,178,2023-10-05,2023-10-11
386,2821,Delhivery,191,2025-04-20,2025-04-27
387,544,Ekart,170,2025-04-19,2025-04-22
388,2399,Ekart,109,2024-08-30,2024-09-05
389,2739,DTDC,76,2025-01-08,2025-01-14
390,1441,BlueDart,54,2023-10-29,2023-11-07
391,1184,Ekart,72,2024-05-16,2024-05-22
392,2781,Ekart,145,2023-04-21,2023-04-30
393,946,Delhivery,107,2024-08-05,2024-08-11
394,3332,Delhivery,112,2024-01-29,2024-02-05
395,1234,DTDC,132,2023-09-22,2023-09-28
396,1987,Delhivery,114,2023-11-13,2023-11-23
397,3028,Ekart,74,2023-11-22,2023-11-26
398,2881,DTDC,116,2024-06-07,2024-06-17
399,1553,BlueDart,46,2023-11-22,2023-11-24
400,1025,DTDC,182,2023-09-01,2023-09-04
401,1204,BlueDart,192,2023-06-08,2023-06-11
402,402,DTDC,127,2023-08-18,2023-08-26
403,1068,BlueDart,164,2024-06-23,2024-06-28
404,1987,DTDC,71,2024-05-10,2024-05-14
405,1483,BlueDart,105,2023-09-15,2023-09-19
406,474,Delhivery,92,2023-06-18,2023-06-25
407,3490,Ekart,65,2024-06-23,2024-06-28
408,763,BlueDart,86,2023-10-22,2023-10-31
409,941,BlueDart,51,2025-06-04,2025-06-13
410,1821,DTDC,128,2023-11-01,2023-11-04
411,887,Delhivery,53,2025-04-22,2025-05-01
412,1760,BlueDart,192,2023-08-30,2023-09-03
413,2475,DTDC,156,2024-07-24,2024-08-03
414,860,BlueDart,64,2023-08-20,2023-08-27
415,3,BlueDart,157,2024-06-27,2024-07-04
416,1498,BlueDart,146,2023-12-31,2024-01-10
417,928,Ekart,134,2023-06-12,2023-06-15
418,410,Ekart,169,2025-01-14,2025-01-16
419,2310,Delhivery,175,2024-12-23,2025-01-02
420,502,BlueDart,183,2023-04-13,2023-04-19
421,492,BlueDart,113,2024-05-23,2024-06-02
422,553,DTDC,105,2025-03-09,2025-03-11
423,778,Ekart,88,2023-07-25,2023-08-01
424,3321,BlueDart,112,2023-11-13,2023-11-18
425,2310,Delhivery,192,2024-11-24,2024-12-03
426,1822,Ekart,52,2023-05-11,2023-05-13
427,3395,BlueDart,114,2025-06-11,2025-06-16
428,608,Delhivery,46,2023-10-11,2023-10-16
429,2511,DTDC,97,2024-10-22,2024-10-25
430,458,BlueDart,74,2024-01-21,2024-01-26
431,1202,Delhivery,172,2024-10-25,2024-10-30
432,2685,BlueDart,118,2025-03-26,2025-04-04
433,1043,BlueDart,186,2024-05-06,2024-05-16
434,3018,Delhivery,74,2023-01-30,2023-02-08
435,343,DTDC,198,2023-06-21,2023-06-28
436,3323,Delhivery,52,2024-07-06,2024-07-14
437,601,BlueDart,160,2023-11-07,2023-11-10
438,3135,Ekart,199,2023-06-16,2023-06-22
439,1475,DTDC,138,2023-06-30,2023-07-02
440,2337,Ekart,76,2024-08-19,2024-08-22
441,3343,Delhivery,63,2024-07-07,2024-07-12
442,3172,DTDC,169,2024-08-02,2024-08-11
443,2361,DTDC,143,2024-01-01,2024-01-04
444,1468,Delhivery,176,2025-05-24,2025-05-26
445,198,Ekart,115,2023-02-23,2023-03-02
446,86,DTDC,152,2025-02-08,2025-02-12
447,1597,BlueDart,96,2023-03-02,2023-03-05
448,399,Ekart,160,2024-02-03,2024-02-07
449,1507,Delhivery,44,2023-04-05,2023-04-07
450,884,Ekart,160,2024-01-31,2024-02-08
451,1279,BlueDart,180,2023-09-02,2023-09-11
452,1107,Delhivery,179,2025-05-28,2025-06-06
453,1104,Delhivery,139,2025-04-01,2025-04-08
454,930,BlueDart,67,2025-05-31,2025-06-02
455,713,BlueDart,89,2024-08-29,2024-09-01
456,1668,BlueDart,124,2023-07-18,2023-07-27
457,3381,BlueDart,192,2023-04-26,2023-04-29
458,2719,BlueDart,62,2024-06-17,2024-06-19
459,216,BlueDart,99,2023-06-07,2023-06-15
460,1805,Delhivery,138,2023-01-26,2023-02-02
461,3205,BlueDart,129,2024-04-10,2024-04-16
462,656,BlueDart,123,2025-06-03,2025-06-07
463,1153,Ekart,111,2025-05-19,2025-05-27
464,2025,Delhivery,150,2024-01-21,2024-01-26
465,2466,Ekart,130,2023-04-05,2023-04-11
466,2438,BlueDart,138,2025-05-12,2025-05-14
467,1386,Ekart,80,2023-08-19,2023-08-26
468,3413,BlueDart,105,2023-07-28,2023-08-06
469,1790,DTDC,72,2024-03-10,2024-03-19
470,686,DTDC,58,2024-02-24,2024-03-04
471,2020,Delhivery,111,2023-11-08,2023-11-17
472,3297,BlueDart,76,2023-12-31,2024-01-07
473,1206,Delhivery,132,2025-01-11,2025-01-15
474,2447,Ekart,77,2025-03-11,2025-03-19
475,1501,Delhivery,136,2023-10-23,2023-11-01
476,1114,Delhivery,198,2023-08-23,2023-09-01
477,3449,Delhivery,88,2024-11-01,2024-11-09
478,1189,DTDC,96,2025-05-20,2025-05-30
479,284,Delhivery,71,2023-04-22,2023-04-30
480,1426,BlueDart,184,2024-01-25,2024-02-01
481,2470,Delhivery,64,2024-01-15,2024-01-19
482,3164,Ekart,86,2025-01-29,2025-02-05
483,1045,Ekart,45,2023-01-05,2023-01-08
484,2772,BlueDart,159,2025-01-29,2025-02-04
485,2503,DTDC,180,2025-03-18,2025-03-20
486,110,BlueDart,126,2024-06-27,2024-07-07
487,2160,Ekart,168,2025-01-05,2025-01-12
488,2642,Ekart,122,2023-08-18,2023-08-26
489,1077,DTDC,135,2024-10-10,2024-10-20
490,3136,DTDC,106,2024-09-19,2024-09-28
491,545,BlueDart,188,2023-12-24,2023-12-30
492,2655,BlueDart,138,2023-03-01,2023-03-07
493,2172,Ekart,143,2023-06-21,2023-06-30
494,2110,Ekart,55,2023-09-19,2023-09-28
495,3305,DTDC,163,2024-12-10,2024-12-19
496,743,BlueDart,54,2025-02-20,2025-02-27
497,3111,Ekart,175,2024-06-07,2024-06-10
498,24,DTDC,173,2024-07-10,2024-07-18
499,2764,Ekart,67,2025-03-07,2025-03-13
500,441,BlueDart,112,2025-05-16,2025-05-21
501,1691,BlueDart,158,2024-05-08,2024-05-11
502,1378,DTDC,67,2023-06-25,2023-06-30
503,84,BlueDart,199,2025-06-17,2025-06-19
504,3244,BlueDart,121,2024-01-12,2024-01-20
505,303,DTDC,129,2025-03-31,2025-04-10
506,1854,BlueDart,86,2023-02-26,2023-03-05
507,171,DTDC,59,2024-07-30,2024-08-04
508,907,Delhivery,113,2024-12-01,2024-12-03
509,1277,Ekart,67,2025-04-06,2025-04-14
510,2547,Ekart,58,2024-05-08,2024-05-12
511,2695,DTDC,166,2023-02-28,2023-03-05
512,1344,DTDC,185,2024-06-27,2024-06-29
513,3198,BlueDart,174,2025-01-07,2025-01-12
514,2423,Delhivery,63,2023-09-30,2023-10-02
515,1869,Delhivery,103,2023-03-21,2023-03-26
516,2896,DTDC,65,2024-05-11,2024-05-13
517,2167,DTDC,191,2023-09-28,2023-10-06
518,234,DTDC,99,2024-07-19,2024-07-28
519,1949,DTDC,186,2023-08-10,2023-08-13
520,3255,Ekart,196,2023-05-27,2023-06-05
521,694,DTDC,52,2024-05-17,2024-05-23
522,346,DTDC,195,2023-02-14,2023-02-16
523,2670,DTDC,114,2025-04-14,2025-04-23
524,212,Delhivery,56,2023-01-02,2023-01-11
525,2104,Ekart,141,2023-08-09,2023-08-13
526,1562,Delhivery,136,2025-01-31,2025-02-03
527,385,Ekart,102,2023-01-04,2023-01-14
528,3321,Delhivery,167,2024-04-09,2024-04-11
529,256,Delhivery,41,2025-04-29,2025-05-01
530,614,BlueDart,69,2025-02-07,2025-02-11
531,694,BlueDart,197,2024-12-20,2024-12-28
