order_item_id,order_id,product_id,quantity,selling_price,discount,final_price
136,2196,10,2,4508,3,4505
137,638,18,2,2740,83,2657
138,2483,34,1,2869,91,2778
139,1118,20,1,2499,0,2499
140,3078,6,1,1957,185,1772
141,3288,18,2,2740,154,2586
142,3203,8,1,2864,95,2769
143,1009,7,3,1535,29,1506
144,3384,23,3,1578,7,1571
145,3194,21,1,1910,81,1829
146,3139,29,1,3317,42,3275
147,3382,34,3,2869,33,2836
148,482,1,2,2461,74,2387
149,168,24,2,2514,142,2372
150,120,30,3,2674,61,2613
151,3488,9,3,3230,4,3226
152,420,5,1,2071,76,1995
153,994,19,3,2161,84,2077
154,1364,20,1,2499,156,2343
155,392,9,3,3230,194,3036
156,2277,17,2,3145,120,3025
157,3002,27,2,1051,73,978
158,718,9,3,3230,9,3221
159,2762,6,3,1957,130,1827
160,910,15,1,3293,98,3195
161,2632,23,2,1578,143,1435
162,1904,2,3,871,58,813
163,399,8,3,2864,37,2827
164,2972,15,3,3293,158,3135
165,3367,29,2,3317,61,3256
166,57,26,3,3616,147,3469
167,1324,21,2,1910,141,1769
168,1525,23,2,1578,200,1378
169,86,20,3,2499,196,2303
170,2359,35,2,4634,47,4587
171,1761,1,2,2461,154,2307
172,1472,4,3,2713,76,2637
173,3281,10,3,4508,155,4353
174,1546,35,2,4634,3,4631
175,1592,5,3,2071,12,2059
176,986,22,2,3610,117,3493
177,1120,15,2,3293,193,3100
178,340,24,2,2514,11,2503
179,1820,26,2,3616,36,3580
180,1714,27,1,1051,57,994
181,2261,5,2,2071,150,1921
182,901,4,1,2713,91,2622
183,797,2,3,871,71,800
184,2523,31,3,3246,102,3144
185,3478,11,3,2784,156,2628
186,1235,26,2,3616,68,3548
187,1324,30,2,2674,46,2628
188,2767,1,3,2461,72,2389
189,577,12,1,4484,190,4294
190,1235,17,1,3145,54,3091
191,131,33,1,3027,196,2831
192,2906,18,1,2740,116,2624
193,2950,9,2,3230,28,3202
194,1632,22,2,3610,63,3547
195,1385,7,2,1535,136,1399
196,3465,21,2,1910,72,1838
197,3417,2,2,871,44,827
198,62,32,3,3085,96,2989
199,1512,11,2,2784,42,2742
200,3125,29,1,3317,61,3256
201,592,14,1,1491,168,1323
202,1193,22,3,3610,153,3457
203,3475,23,1,1578,56,1522
204,2203,6,2,1957,163,1794
205,928,9,3,3230,99,3131
206,3393,3,2,2369,5,2364
207,1607,9,3,3230,111,3119
208,2458,12,3,4484,158,4326
209,407,6,2,1957,40,1917
210,2459,32,2,3085,40,3045
211,1238,9,1,3230,6,3224
212,2219,6,2,1957,118,1839
213,2804,12,1,4484,91,4393
214,1664,16,3,2574,45,2529
215,1945,25,3,3331,53,3278
216,517,1,2,2461,56,2405
217,497,23,1,1578,55,1523
218,2049,15,3,3293,40,3253
219,3196,3,2,2369,136,2233
220,620,23,1,1578,47,1531
221,2751,3,2,2369,24,2345
222,981,4,1,2713,147,2566
223,2536,16,1,2574,95,2479
224,1996,15,2,3293,154,3139
225,9,6,3,1957,15,1942
226,753,4,3,2713,5,2708
227,1544,22,2,3610,25,3585
228,1543,10,1,4508,87,4421
229,263,18,3,2740,126,2614
230,1450,33,3,3027,94,2933
231,1842,20,1,2499,186,2313
232,1171,10,1,4508,0,4508
233,560,23,3,1578,55,1523
234,2667,15,1,3293,98,3195
235,2190,30,2,2674,200,2474
236,1544,5,2,2071,84,1987
237,1180,19,2,2161,187,1974
238,3205,16,2,2574,3,2571
239,3101,8,3,2864,75,2789
240,2517,23,1,1578,173,1405
241,1849,7,1,1535,171,1364
242,2915,32,2,3085,107,2978
243,1412,28,2,3375,14,3361
244,2655,12,3,4484,120,4364
245,109,27,1,1051,32,1019
246,3365,11,3,2784,22,2762
247,226,21,2,1910,140,1770
248,3266,27,3,1051,18,1033
249,1008,4,1,2713,33,2680
250,1601,5,3,2071,29,2042
251,2785,31,3,3246,140,3106
252,2578,29,1,3317,98,3219
253,838,31,3,3246,109,3137
254,620,22,1,3610,34,3576
255,505,13,3,2885,124,2761
256,637,35,2,4634,149,4485
257,3354,5,1,2071,96,1975
258,2651,34,3,2869,72,2797
259,904,33,2,3027,106,2921
260,1172,32,1,3085,21,3064
261,789,10,3,4508,79,4429
262,3058,2,1,871,7,864
263,3166,16,2,2574,86,2488
264,2204,16,3,2574,192,2382
265,2857,10,1,4508,179,4329
266,1064,5,1,2071,36,2035
267,2699,28,2,3375,153,3222
268,2510,33,2,3027,97,2930
269,3093,14,1,1491,122,1369
270,424,35,3,4634,66,4568
271,827,32,3,3085,141,2944
272,2336,32,2,3085,87,2998
273,2146,5,2,2071,53,2018
274,403,9,1,3230,24,3206
275,3337,18,3,2740,7,2733
276,2869,25,2,3331,41,3290
277,754,28,2,3375,74,3301
278,1511,28,2,3375,56,3319
279,750,5,1,2071,124,1947
280,904,18,2,2740,88,2652
281,2756,16,2,2574,93,2481
282,1581,26,2,3616,192,3424
283,2167,31,2,3246,66,3180
284,2412,29,3,3317,75,3242
285,1142,28,1,3375,42,3333
286,3402,19,3,2161,94,2067
287,1667,8,1,2864,78,2786
288,1693,9,2,3230,1,3229
289,1340,9,3,3230,107,3123
290,450,25,3,3331,85,3246
291,1728,10,3,4508,13,4495
292,2913,9,2,3230,106,3124
293,948,32,1,3085,152,2933
294,2515,21,3,1910,5,1905
295,883,29,3,3317,199,3118
296,568,17,3,3145,68,3077
297,452,5,1,2071,147,1924
298,2691,20,2,2499,200,2299
299,604,24,1,2514,47,2467
300,1891,13,2,2885,126,2759
301,2019,1,2,2461,88,2373
302,477,30,1,2674,95,2579
303,2685,34,2,2869,178,2691
304,834,4,2,2713,6,2707
305,2170,15,3,3293,156,3137
306,1855,9,1,3230,74,3156
307,1822,10,1,4508,49,4459
308,2325,10,3,4508,14,4494
309,2940,18,2,2740,16,2724
310,3138,26,2,3616,102,3514
311,808,29,1,3317,101,3216
312,2749,27,3,1051,56,995
313,822,9,3,3230,109,3121
314,567,1,1,2461,17,2444
315,2950,10,1,4508,12,4496
316,1100,34,2,2869,128,2741
317,3168,9,2,3230,64,3166
318,3084,35,1,4634,52,4582
319,2768,14,2,1491,115,1376
320,682,25,1,3331,130,3201
321,2043,35,3,4634,103,4531
322,1562,6,3,1957,52,1905
323,2774,1,2,2461,163,2298
324,1782,17,3,3145,73,3072
325,1518,9,1,3230,143,3087
326,2930,27,2,1051,145,906
327,597,4,1,2713,48,2665
328,3128,17,3,3145,94,3051
329,1533,6,3,1957,55,1902
330,318,4,3,2713,0,2713
331,1604,7,2,1535,74,1461
332,3224,8,2,2864,88,2776
333,2902,34,3,2869,176,2693
334,888,4,3,2713,12,2701
335,2364,34,3,2869,130,2739
336,2614,3,2,2369,65,2304
337,252,5,1,2071,72,1999
338,1428,18,1,2740,16,2724
339,1393,26,2,3616,130,3486
340,3415,5,3,2071,54,2017
341,2599,22,1,3610,133,3477
342,2645,7,2,1535,131,1404
343,1877,14,2,1491,79,1412
344,205,21,2,1910,129,1781
345,2619,13,1,2885,159,2726
346,2115,1,1,2461,103,2358
347,1833,21,2,1910,72,1838
348,2249,8,2,2864,115,2749
349,2492,17,1,3145,23,3122
350,3238,3,1,2369,118,2251
351,2160,7,2,1535,155,1380
352,422,14,2,1491,179,1312
353,1499,28,1,3375,27,3348
354,3273,34,2,2869,108,2761
355,349,34,2,2869,28,2841
356,1460,31,2,3246,112,3134
357,816,34,1,2869,169,2700
358,1952,11,2,2784,16,2768
359,116,3,3,2369,82,2287
360,1536,22,3,3610,53,3557
361,2637,13,2,2885,91,2794
362,1425,35,1,4634,150,4484
363,2891,28,2,3375,112,3263
364,1012,10,3,4508,94,4414
365,2370,24,1,2514,63,2451
366,653,33,1,3027,72,2955
367,582,25,2,3331,168,3163
368,2869,7,2,1535,198,1337
369,178,31,2,3246,143,3103
370,2210,5,3,2071,84,1987
371,2245,18,2,2740,109,2631
372,18,32,3,3085,53,3032
373,3231,13,1,2885,38,2847
374,646,33,2,3027,52,2975
375,3089,30,1,2674,122,2552
376,2295,25,2,3331,151,3180
377,286,15,2,3293,81,3212
378,251,24,3,2514,181,2333
379,2122,11,2,2784,32,2752
380,437,24,2,2514,109,2405
381,1914,16,1,2574,139,2435
382,2312,13,1,2885,137,2748
383,3451,31,1,3246,184,3062
384,3136,1,3,2461,116,2345
385,3460,15,3,3293,183,3110
386,1922,11,2,2784,121,2663
387,475,30,3,2674,193,2481
388,575,8,3,2864,74,2790
389,3001,21,1,1910,177,1733
390,1598,31,3,3246,129,3117
391,2469,13,1,2885,199,2686
392,340,4,1,2713,113,2600
393,3389,10,1,4508,12,4496
394,577,10,3,4508,71,4437
395,1189,13,2,2885,172,2713
396,213,32,1,3085,173,2912
397,1981,23,3,1578,168,1410
398,3103,29,2,3317,24,3293
399,2375,28,1,3375,173,3202
400,1495,31,1,3246,96,3150
401,1634,28,2,3375,197,3178
402,1213,26,2,3616,104,3512
403,2964,3,3,2369,156,2213
404,798,25,3,3331,60,3271
405,72,19,2,2161,4,2157
406,3376,24,1,2514,41,2473
407,1556,19,1,2161,172,1989
408,1880,24,1,2514,199,2315
409,521,13,3,2885,46,2839
410,3114,6,3,1957,19,1938
411,2882,17,1,3145,159,2986
412,1483,1,2,2461,5,2456
413,997,19,2,2161,171,1990
414,468,27,1,1051,195,856
415,2404,22,2,3610,163,3447
416,153,8,1,2864,84,2780
417,1626,7,1,1535,17,1518
418,126,10,2,4508,2,4506
419,1644,33,1,3027,34,2993
420,2940,23,3,1578,146,1432
421,3460,14,3,1491,66,1425
422,1867,30,2,2674,153,2521
423,1184,14,1,1491,81,1410
424,848,33,3,3027,182,2845
425,2459,23,2,1578,22,1556
426,2337,12,1,4484,72,4412
427,374,26,2,3616,145,3471
428,2912,17,2,3145,62,3083
429,1587,33,2,3027,162,2865
430,3328,19,3,2161,61,2100
431,376,10,1,4508,53,4455
432,3348,32,3,3085,35,3050
433,600,27,2,1051,93,958
434,1610,34,1,2869,79,2790
435,2426,35,2,4634,67,4567
436,2744,11,3,2784,127,2657
437,162,9,2,3230,0,3230
438,2767,3,3,2369,188,2181
439,1603,10,1,4508,139,4369
440,2731,4,1,2713,77,2636
441,353,25,1,3331,81,3250
442,1385,2,3,871,196,675
443,2030,18,1,2740,36,2704
444,832,8,2,2864,166,2698
445,2972,4,3,2713,178,2535
446,1724,13,1,2885,81,2804
447,2920,14,2,1491,153,1338
448,239,13,1,2885,22,2863
449,2414,4,3,2713,9,2704
450,2412,4,3,2713,152,2561
451,1817,16,1,2574,141,2433
452,15,34,1,2869,186,2683
453,711,20,3,2499,11,2488
454,1376,34,3,2869,59,2810
455,2228,18,1,2740,85,2655
456,208,12,3,4484,174,4310
457,2893,15,1,3293,67,3226
458,1709,15,3,3293,113,3180
459,3156,28,1,3375,62,3313
460,2187,27,2,1051,43,1008
461,575,2,3,871,21,850
462,1758,9,3,3230,162,3068
463,3495,34,1,2869,89,2780
464,1051,20,2,2499,178,2321
465,2941,30,1,2674,88,2586
466,149,15,1,3293,22,3271
467,869,23,3,1578,140,1438
468,1773,16,1,2574,156,2418
469,1835,32,1,3085,154,2931
470,388,33,2,3027,35,2992
471,574,8,3,2864,78,2786
472,1944,28,3,3375,59,3316
473,2653,27,3,1051,91,960
474,1662,2,3,871,26,845
475,2827,32,2,3085,122,2963
476,1961,7,3,1535,126,1409
477,2175,26,1,3616,168,3448
478,968,35,1,4634,104,4530
479,2724,28,3,3375,134,3241
480,2985,23,1,1578,22,1556
481,1884,26,3,3616,41,3575
482,651,26,1,3616,151,3465
483,1782,12,2,4484,110,4374
484,2109,29,3,3317,176,3141
485,2818,1,3,2461,179,2282
486,1627,13,2,2885,164,2721
487,693,6,2,1957,83,1874
488,2467,12,3,4484,164,4320
489,1900,35,3,4634,0,4634
490,991,19,3,2161,149,2012
491,435,21,3,1910,137,1773
492,2550,9,2,3230,87,3143
493,624,31,2,3246,119,3127
494,3425,28,2,3375,154,3221
495,103,32,2,3085,75,3010
496,3040,13,3,2885,94,2791
497,121,35,1,4634,81,4553
498,512,5,3,2071,74,1997
499,1588,29,1,3317,199,3118
500,2387,22,2,3610,141,3469
501,3371,13,3,2885,17,2868
502,1624,9,3,3230,90,3140
503,2183,23,1,1578,136,1442
504,468,29,1,3317,165,3152
505,162,20,3,2499,109,2390
506,3170,4,3,2713,92,2621
507,2472,3,1,2369,183,2186
508,2435,12,2,4484,69,4415
509,2299,12,3,4484,114,4370
510,1897,32,2,3085,163,2922
511,2632,4,3,2713,59,2654
512,804,2,1,871,150,721
513,2995,2,1,871,26,845
514,55,10,2,4508,162,4346
515,1604,5,3,2071,129,1942
516,701,3,2,2369,70,2299
517,2635,2,2,871,169,702
518,664,23,1,1578,46,1532
519,2477,15,1,3293,104,3189
520,2298,14,1,1491,162,1329
521,172,2,2,871,43,828
522,802,1,2,2461,163,2298
523,3218,2,1,871,66,805
524,2911,12,2,4484,166,4318
525,2875,28,1,3375,66,3309
526,1924,29,2,3317,61,3256
527,3314,19,1,2161,178,1983
528,2828,21,2,1910,200,1710
529,1135,6,3,1957,195,1762
530,2448,20,2,2499,169,2330
531,3183,24,2,2514,173,2341
532,2951,32,2,3085,12,3073
533,3232,25,3,3331,126,3205
534,1245,14,2,1491,165,1326
535,1042,17,2,3145,56,3089
536,1150,22,3,3610,16,3594
537,2249,25,3,3331,109,3222
538,1450,35,3,4634,107,4527
539,3062,33,1,3027,170,2857
540,3222,18,3,2740,50,2690
541,937,19,3,2161,189,1972
542,1758,23,3,1578,140,1438
543,885,11,2,2784,126,2658
544,2121,28,2,3375,76,3299
545,121,21,1,1910,39,1871
546,2149,30,2,2674,93,2581
547,2495,31,1,3246,130,3116
548,3167,19,1,2161,40,2121
549,895,27,3,1051,143,908
550,2986,17,2,3145,62,3083
551,1382,28,3,3375,176,3199
552,98,35,1,4634,91,4543
553,1480,20,2,2499,15,2484
554,2180,3,3,2369,44,2325
555,677,18,2,2740,118,2622
556,808,1,1,2461,117,2344
557,2472,18,1,2740,194,2546
558,2855,13,3,2885,11,2874
559,3025,30,2,2674,58,2616
560,1290,32,1,3085,151,2934
561,2732,18,3,2740,88,2652
562,118,1,1,2461,143,2318
563,1373,5,2,2071,35,2036
564,158,23,1,1578,90,1488
565,2606,9,3,3230,178,3052
566,95,1,2,2461,87,2374
567,1277,12,3,4484,24,4460
568,266,14,2,1491,58,1433
569,1085,9,2,3230,152,3078
570,2014,15,1,3293,192,3101
571,3267,22,1,3610,20,3590
572,979,7,1,1535,36,1499
573,1126,23,3,1578,7,1571
574,757,11,2,2784,91,2693
575,2259,30,2,2674,38,2636
576,751,28,3,3375,97,3278
577,210,23,1,1578,177,1401
578,916,34,2,2869,126,2743
579,2929,34,1,2869,141,2728
580,1402,23,2,1578,74,1504
581,3100,6,2,1957,161,1796
582,3375,28,1,3375,154,3221
583,1328,6,3,1957,59,1898
584,2727,7,1,1535,122,1413
585,1281,20,2,2499,91,2408
586,2862,15,3,3293,116,3177
587,1942,3,2,2369,34,2335
588,1703,12,3,4484,27,4457
589,1812,30,1,2674,63,2611
590,3455,17,2,3145,24,3121
591,1301,9,1,3230,170,3060
592,2946,31,2,3246,108,3138
593,416,11,2,2784,65,2719
594,2105,12,2,4484,7,4477
595,2094,17,3,3145,30,3115
596,58,29,2,3317,40,3277
597,959,4,2,2713,146,2567
598,986,6,3,1957,110,1847
599,2449,2,1,871,158,713
600,3051,22,1,3610,111,3499
601,1375,32,1,3085,79,3006
602,2954,3,3,2369,84,2285
603,2774,35,1,4634,32,4602
604,2772,27,2,1051,58,993
605,882,7,1,1535,194,1341
606,2176,18,1,2740,198,2542
607,2057,34,1,2869,78,2791
608,1196,23,1,1578,168,1410
609,1513,10,1,4508,37,4471
610,1501,16,2,2574,76,2498
611,2265,3,3,2369,37,2332
612,439,12,3,4484,60,4424
613,1931,16,2,2574,33,2541
614,1551,24,2,2514,113,2401
615,2498,30,1,2674,155,2519
616,1357,5,1,2071,183,1888
617,3066,19,3,2161,6,2155
618,795,19,3,2161,66,2095
619,832,6,3,1957,181,1776
620,2520,20,1,2499,111,2388
621,157,24,1,2514,21,2493
622,1982,11,3,2784,149,2635
623,2632,31,1,3246,173,3073
624,1672,7,2,1535,4,1531
625,470,10,3,4508,149,4359
626,1597,30,3,2674,32,2642
627,876,22,1,3610,115,3495
628,3449,11,3,2784,28,2756
629,2517,28,1,3375,175,3200
630,2995,6,3,1957,13,1944
631,3360,33,2,3027,58,2969
632,2432,10,1,4508,25,4483
633,310,16,2,2574,145,2429
634,2783,21,2,1910,55,1855
635,1983,30,2,2674,199,2475
636,561,8,1,2864,91,2773
637,1997,33,3,3027,115,2912
638,1197,1,2,2461,164,2297
639,2535,23,3,1578,189,1389
640,232,6,2,1957,50,1907
641,210,17,2,3145,81,3064
642,537,1,1,2461,1,2460
643,1000,25,3,3331,133,3198
644,141,32,3,3085,156,2929
645,2614,14,3,1491,79,1412
646,2435,23,1,1578,43,1535
647,1854,21,3,1910,102,1808
648,2657,26,1,3616,60,3556
649,2477,4,2,2713,2,2711
650,2806,14,2,1491,104,1387
651,1219,30,3,2674,89,2585
652,2964,5,3,2071,182,1889
653,2219,10,1,4508,108,4400
654,310,33,1,3027,11,3016
655,542,16,3,2574,170,2404
656,199,29,1,3317,18,3299
657,1002,21,1,1910,62,1848
658,412,18,2,2740,15,2725
659,610,35,2,4634,40,4594
660,2194,1,1,2461,60,2401
661,712,11,2,2784,60,2724
662,807,3,3,2369,189,2180
663,2143,5,3,2071,99,1972
664,2610,8,3,2864,199,2665
665,3446,27,1,1051,106,945
666,2316,1,1,2461,137,2324
667,1962,6,3,1957,179,1778
668,2459,16,3,2574,97,2477
669,2091,1,2,2461,191,2270
670,1755,20,3,2499,124,2375
671,176,31,1,3246,11,3235
672,331,2,2,871,33,838
673,409,17,3,3145,183,2962
674,1871,4,2,2713,2,2711
675,1102,8,2,2864,61,2803
676,2750,24,1,2514,167,2347
677,427,35,3,4634,82,4552
678,27,12,1,4484,117,4367
679,3133,34,2,2869,20,2849
680,330,8,3,2864,192,2672
681,1482,17,3,3145,77,3068
682,2481,17,2,3145,107,3038
683,1620,31,1,3246,157,3089
684,3370,23,2,1578,99,1479
685,1858,8,3,2864,47,2817
686,968,28,2,3375,20,3355
687,2804,29,2,3317,187,3130
688,2768,8,3,2864,193,2671
689,3073,33,3,3027,106,2921
690,2395,10,2,4508,61,4447
691,551,23,2,1578,27,1551
692,1805,26,2,3616,198,3418
693,1525,35,1,4634,6,4628
694,1880,24,2,2514,53,2461
695,3466,7,1,1535,139,1396
696,1174,34,2,2869,191,2678
697,573,3,1,2369,186,2183
698,2939,14,3,1491,167,1324
699,282,19,3,2161,97,2064
700,1562,20,2,2499,100,2399
701,839,12,2,4484,108,4376
702,2786,14,1,1491,75,1416
703,1705,8,1,2864,117,2747
704,714,7,3,1535,76,1459
705,1211,7,2,1535,47,1488
706,2462,33,1,3027,28,2999
707,1727,26,3,3616,188,3428
708,1963,14,2,1491,67,1424
709,1283,2,2,871,99,772
710,1588,25,3,3331,144,3187
711,887,33,2,3027,5,3022
712,3193,25,3,3331,143,3188
713,1140,15,1,3293,7,3286
714,2798,35,1,4634,124,4510
715,930,15,2,3293,186,3107
716,742,6,2,1957,147,1810
717,466,10,3,4508,152,4356
718,1571,11,2,2784,14,2770
719,1148,22,3,3610,57,3553
720,205,5,1,2071,67,2004
721,595,25,3,3331,175,3156
722,1851,7,1,1535,139,1396
723,643,11,1,2784,131,2653
724,2125,18,2,2740,31,2709
725,2198,13,1,2885,22,2863
726,2390,8,2,2864,178,2686
727,3474,26,3,3616,13,3603
728,1836,31,2,3246,173,3073
729,3237,34,3,2869,186,2683
730,3411,34,3,2869,64,2805
731,2517,31,2,3246,148,3098
732,233,29,3,3317,153,3164
733,437,21,1,1910,34,1876
734,1144,32,1,3085,28,3057
735,1711,35,2,4634,85,4549
736,389,23,3,1578,188,1390
737,39,35,3,4634,26,4608
738,866,28,1,3375,126,3249
739,388,21,2,1910,62,1848
740,689,27,1,1051,24,1027
741,1838,30,2,2674,90,2584
742,1698,12,3,4484,192,4292
743,1250,7,2,1535,152,1383
744,2297,27,1,1051,124,927
745,2351,33,1,3027,22,3005
746,2911,14,3,1491,176,1315
747,683,4,2,2713,135,2578
748,849,4,1,2713,195,2518
749,1745,1,2,2461,19,2442
750,3258,32,2,3085,48,3037
751,909,11,1,2784,99,2685
752,3287,13,2,2885,30,2855
753,2515,16,1,2574,120,2454
754,2370,34,2,2869,68,2801
755,2824,3,1,2369,79,2290
756,2755,4,1,2713,121,2592
757,3071,11,3,2784,91,2693
758,3181,19,2,2161,132,2029
759,1400,22,3,3610,57,3553
760,2449,27,1,1051,174,877
761,3485,8,1,2864,123,2741
762,2473,18,3,2740,55,2685
763,3184,10,1,4508,82,4426
764,3313,22,1,3610,112,3498
765,2870,18,1,2740,153,2587
766,274,12,2,4484,142,4342
767,736,17,2,3145,107,3038
768,2895,7,3,1535,46,1489
769,498,13,2,2885,9,2876
770,2341,35,2,4634,59,4575
771,401,17,2,3145,66,3079
772,2273,14,3,1491,197,1294
773,385,17,2,3145,59,3086
774,3179,21,2,1910,55,1855
775,36,4,3,2713,62,2651
776,2136,31,3,3246,102,3144
777,2665,22,3,3610,11,3599
778,1253,28,3,3375,169,3206
779,1904,24,3,2514,137,2377
780,2988,9,3,3230,71,3159
781,2504,3,3,2369,191,2178
782,1888,12,3,4484,27,4457
783,771,31,3,3246,198,3048
784,381,22,3,3610,194,3416
785,264,27,2,1051,130,921
786,2547,5,1,2071,55,2016
787,1855,31,1,3246,109,3137
788,558,2,2,871,177,694
789,928,8,2,2864,168,2696
790,739,19,1,2161,180,1981
791,704,20,1,2499,166,2333
792,386,11,3,2784,69,2715
793,3321,34,3,2869,58,2811
794,1007,4,2,2713,172,2541
795,1778,12,3,4484,60,4424
796,386,21,2,1910,3,1907
797,3240,35,1,4634,166,4468
798,689,20,2,2499,68,2431
799,637,19,3,2161,69,2092
800,1145,2,1,871,177,694
801,2858,16,2,2574,1,2573
802,1438,20,2,2499,105,2394
803,3014,6,1,1957,171,1786
804,267,33,2,3027,168,2859
805,34,22,2,3610,70,3540
806,2028,19,1,2161,79,2082
807,2209,23,1,1578,158,1420
808,160,5,1,2071,119,1952
809,550,21,2,1910,162,1748
810,2804,20,2,2499,23,2476
811,1580,4,3,2713,45,2668
812,290,5,3,2071,199,1872
813,1304,2,3,871,51,820
814,1095,25,2,3331,157,3174
815,2432,12,3,4484,147,4337
816,715,12,1,4484,162,4322
817,2913,16,2,2574,97,2477
818,2720,25,2,3331,149,3182
819,3176,28,3,3375,44,3331
820,958,11,3,2784,88,2696
821,383,15,3,3293,98,3195
822,2561,17,1,3145,16,3129
823,2773,35,1,4634,155,4479
824,3209,2,3,871,59,812
825,2678,20,1,2499,71,2428
826,1551,10,2,4508,0,4508
827,2099,28,3,3375,45,3330
828,784,13,2,2885,104,2781
829,2120,13,2,2885,172,2713
830,976,35,3,4634,58,4576
831,1520,17,1,3145,120,3025
832,1562,7,3,1535,134,1401
833,2997,28,3,3375,65,3310
834,3179,3,3,2369,111,2258
835,1165,24,2,2514,44,2470
836,724,16,3,2574,143,2431
837,2272,25,3,3331,34,3297
838,1843,22,2,3610,5,3605
