order_id,customer_id,platform_id,warehouse_id,order_date,order_status,payment_method
142,642,1,3,2024-05-26,Returned,Credit Card
143,881,3,5,2024-09-19,Returned,Credit Card
144,893,2,6,2025-01-24,Shipped,COD
145,1139,6,8,2023-02-24,Cancelled,COD
146,112,2,3,2023-02-06,Shipped,Credit Card
147,335,6,8,2024-03-22,Delivered,Debit Card
148,84,4,6,2024-12-27,Processing,Debit Card
149,938,4,2,2025-05-16,Cancelled,UPI
150,716,1,4,2025-06-08,Returned,COD
151,345,6,5,2024-07-30,Processing,COD
152,1196,1,3,2024-03-02,Delivered,COD
153,1021,6,2,2023-12-03,Delivered,Credit Card
154,1396,6,2,2024-02-08,Returned,UPI
155,663,2,1,2023-03-25,Shipped,Debit Card
156,930,6,5,2024-08-31,Delivered,Credit Card
157,90,6,8,2023-11-29,Processing,COD
158,433,1,5,2023-11-27,Delivered,UPI
159,1121,5,7,2023-04-05,Shipped,Credit Card
160,365,2,7,2023-04-02,Delivered,COD
161,334,4,7,2023-10-19,Cancelled,UPI
162,612,4,7,2025-01-23,Returned,COD
163,736,6,2,2025-05-02,Returned,COD
164,1003,4,7,2024-05-02,Returned,Debit Card
165,185,4,6,2024-09-20,Cancelled,Debit Card
166,1292,4,2,2023-02-11,Processing,Credit Card
167,950,6,4,2024-10-25,Cancelled,Debit Card
168,1080,6,2,2023-10-25,Shipped,Debit Card
169,163,4,5,2023-06-02,Cancelled,Credit Card
170,510,5,7,2023-10-30,Processing,UPI
171,1129,1,1,2024-06-09,Delivered,Debit Card
172,846,1,8,2024-11-07,Processing,Credit Card
173,728,3,2,2025-02-26,Processing,UPI
174,234,6,8,2023-07-03,Cancelled,Debit Card
175,93,1,7,2025-06-16,Returned,Credit Card
176,1203,6,8,2025-02-14,Shipped,Credit Card
177,700,2,4,2023-07-09,Delivered,Credit Card
178,1380,1,7,2024-07-01,Delivered,UPI
179,809,1,1,2023-06-25,Shipped,Debit Card
180,1417,4,8,2023-11-07,Processing,Credit Card
181,1415,6,7,2025-04-03,Returned,UPI
182,257,2,1,2023-07-15,Delivered,UPI
183,1426,2,1,2023-08-03,Shipped,COD
184,1331,2,7,2025-05-12,Processing,COD
185,177,3,8,2023-06-01,Shipped,Debit Card
186,45,1,3,2023-06-06,Shipped,Debit Card
187,966,1,8,2024-08-22,Cancelled,COD
188,604,5,7,2023-02-22,Returned,UPI
189,211,6,7,2024-03-01,Shipped,Credit Card
190,76,4,7,2024-05-12,Processing,Debit Card
191,475,6,1,2024-06-24,Delivered,Debit Card
192,1181,3,2,2023-10-02,Shipped,Debit Card
193,240,4,6,2024-04-04,Shipped,UPI
194,331,3,4,2024-04-25,Returned,Debit Card
195,476,5,4,2024-08-24,Returned,Debit Card
196,269,3,7,2024-03-02,Returned,Debit Card
197,332,5,4,2023-10-17,Delivered,Debit Card
198,265,2,4,2023-06-10,Processing,Debit Card
199,207,4,8,2023-11-07,Cancelled,COD
200,1141,1,1,2024-01-03,Returned,Credit Card
201,1387,2,3,2025-04-27,Processing,UPI
202,131,3,7,2023-04-27,Processing,COD
203,248,5,4,2024-05-13,Returned,Credit Card
204,728,1,5,2023-06-04,Processing,UPI
205,1447,1,8,2025-03-29,Shipped,UPI
206,217,5,2,2025-04-23,Processing,UPI
207,1039,1,3,2024-10-07,Delivered,COD
208,741,2,5,2024-12-26,Shipped,Debit Card
209,204,2,6,2023-12-09,Cancelled,UPI
210,414,4,7,2025-02-26,Delivered,COD
211,971,3,5,2024-06-01,Cancelled,UPI
212,545,3,7,2024-01-05,Cancelled,COD
213,1085,4,4,2023-05-22,Shipped,Debit Card
214,839,4,6,2023-01-31,Shipped,COD
215,21,6,2,2023-03-28,Returned,Credit Card
216,823,2,7,2023-03-04,Shipped,UPI
217,1353,6,3,2024-08-11,Delivered,Credit Card
218,859,4,5,2025-01-08,Returned,Credit Card
219,17,3,3,2024-12-18,Shipped,Debit Card
220,1319,2,8,2024-12-15,Returned,Debit Card
221,405,3,2,2023-02-07,Processing,Credit Card
222,799,6,3,2024-06-16,Processing,Credit Card
223,438,1,5,2024-06-17,Returned,COD
224,48,1,5,2023-09-05,Returned,Debit Card
225,1035,1,1,2025-05-11,Returned,Credit Card
226,1285,5,6,2023-05-07,Delivered,UPI
227,920,3,1,2024-04-09,Returned,COD
228,1192,5,4,2023-12-25,Returned,Credit Card
229,1366,6,3,2025-01-01,Shipped,COD
230,216,3,4,2025-04-22,Returned,Debit Card
231,201,2,7,2025-04-28,Shipped,UPI
232,189,1,7,2023-05-14,Shipped,COD
233,914,1,6,2024-11-24,Processing,Debit Card
234,1205,5,7,2025-06-11,Returned,Debit Card
235,1304,4,8,2024-12-06,Shipped,Debit Card
236,334,2,3,2024-05-11,Shipped,COD
237,1443,5,2,2024-12-12,Cancelled,Debit Card
238,970,1,3,2024-07-26,Returned,UPI
239,1233,4,2,2023-05-04,Returned,Credit Card
240,83,5,3,2023-05-01,Returned,Credit Card
241,767,3,5,2024-05-12,Delivered,COD
242,292,5,7,2023-02-19,Returned,Credit Card
243,442,2,8,2023-01-03,Delivered,Credit Card
244,139,1,7,2024-05-07,Processing,Credit Card
245,1159,4,6,2025-03-11,Shipped,Debit Card
246,1475,5,3,2025-02-19,Cancelled,Debit Card
247,922,6,8,2023-06-02,Returned,UPI
248,1280,6,7,2024-02-01,Cancelled,Debit Card
249,695,5,1,2024-11-17,Shipped,Credit Card
250,1323,1,3,2024-12-25,Delivered,Credit Card
251,1150,6,2,2024-10-21,Processing,UPI
252,395,5,1,2024-08-06,Processing,COD
253,975,5,1,2023-05-04,Processing,COD
254,39,3,4,2023-09-09,Processing,Debit Card
255,174,5,6,2024-02-16,Processing,UPI
256,1007,1,6,2024-03-23,Cancelled,Debit Card
257,50,5,6,2024-01-27,Returned,UPI
258,235,1,3,2023-10-20,Cancelled,COD
259,524,1,3,2023-11-11,Shipped,COD
260,121,5,6,2023-07-05,Delivered,UPI
261,611,4,2,2023-11-24,Cancelled,Debit Card
262,664,3,7,2025-04-27,Delivered,UPI
263,415,2,4,2024-05-19,Processing,Debit Card
264,236,3,1,2023-11-22,Shipped,Debit Card
265,135,4,1,2024-02-22,Cancelled,UPI
266,552,5,2,2023-09-10,Processing,COD
267,624,5,7,2024-04-01,Delivered,COD
268,292,3,3,2025-03-11,Cancelled,Debit Card
269,1137,4,1,2023-01-02,Shipped,Credit Card
270,1338,2,1,2023-03-03,Shipped,Credit Card
271,1225,3,7,2023-12-26,Cancelled,Credit Card
272,94,2,2,2023-11-04,Delivered,Debit Card
273,1431,1,3,2025-01-12,Processing,Credit Card
274,885,2,6,2024-11-29,Returned,Credit Card
275,1450,4,5,2023-09-09,Returned,Credit Card
276,432,4,6,2023-01-17,Cancelled,UPI
277,1247,4,1,2023-01-10,Cancelled,Debit Card
278,1139,6,8,2025-02-19,Shipped,UPI
279,1330,6,2,2024-07-05,Delivered,Debit Card
280,1377,1,6,2025-04-12,Shipped,Credit Card
281,793,2,1,2023-05-08,Shipped,Credit Card
282,396,4,1,2023-08-15,Delivered,Credit Card
283,1394,6,6,2023-07-16,Delivered,Credit Card
284,1471,2,4,2024-05-20,Returned,UPI
285,575,4,4,2023-01-08,Cancelled,Debit Card
286,228,3,8,2023-06-24,Processing,COD
287,1352,6,3,2023-03-08,Processing,COD
288,134,2,5,2024-08-06,Cancelled,Credit Card
289,393,6,1,2024-12-10,Processing,Credit Card
290,1395,5,8,2023-01-03,Shipped,UPI
291,662,4,7,2023-10-08,Delivered,Debit Card
292,1015,3,1,2025-01-08,Cancelled,UPI
293,570,4,8,2023-11-20,Delivered,Debit Card
294,399,3,2,2024-08-08,Delivered,COD
295,1413,4,2,2023-09-13,Cancelled,COD
296,675,3,2,2024-10-03,Delivered,UPI
297,983,4,1,2024-08-29,Returned,Credit Card
298,507,1,8,2023-09-02,Returned,UPI
299,684,5,4,2023-03-16,Processing,Debit Card
300,196,6,8,2024-08-15,Delivered,UPI
301,125,1,7,2023-11-17,Delivered,COD
302,127,4,1,2023-11-05,Processing,Debit Card
303,135,1,1,2024-07-26,Delivered,Credit Card
304,782,4,2,2024-09-24,Shipped,COD
305,1228,6,1,2024-04-09,Shipped,Debit Card
306,877,5,2,2023-12-14,Delivered,Debit Card
307,1060,3,4,2023-04-21,Delivered,UPI
308,1219,6,2,2024-08-30,Cancelled,COD
309,1306,5,5,2023-12-30,Shipped,Debit Card
310,1485,5,8,2023-07-10,Cancelled,COD
311,91,1,3,2023-11-16,Processing,Debit Card
312,1051,6,6,2023-11-15,Processing,COD
313,302,4,5,2024-09-09,Returned,Credit Card
314,756,1,3,2023-02-28,Cancelled,UPI
315,865,3,4,2023-07-25,Cancelled,UPI
316,700,2,8,2024-12-12,Shipped,Credit Card
317,1185,5,6,2024-09-22,Returned,Debit Card
318,674,2,2,2024-04-10,Delivered,Debit Card
319,450,1,4,2024-12-10,Cancelled,Debit Card
320,1278,2,4,2024-05-07,Returned,Debit Card
321,421,4,3,2025-04-25,Delivered,Credit Card
322,21,1,6,2023-01-31,Processing,UPI
323,292,3,8,2023-07-19,Processing,Credit Card
324,90,1,4,2023-07-22,Returned,COD
325,449,3,3,2023-12-14,Processing,COD
326,366,2,1,2023-06-30,Returned,UPI
327,43,6,3,2024-01-24,Delivered,Credit Card
328,431,3,8,2023-09-03,Returned,Credit Card
329,1354,2,7,2025-06-18,Delivered,UPI
330,296,2,4,2023-07-16,Processing,Debit Card
331,1423,3,6,2024-09-05,Shipped,COD
332,95,5,4,2025-05-24,Processing,Credit Card
333,305,3,4,2023-02-24,Returned,COD
334,1041,5,8,2023-08-03,Delivered,Debit Card
335,1359,5,2,2023-06-21,Processing,Debit Card
336,1322,5,6,2024-05-25,Processing,Debit Card
337,367,3,6,2024-06-22,Shipped,Debit Card
338,971,3,7,2024-10-15,Processing,UPI
339,425,2,4,2024-04-07,Cancelled,Debit Card
340,448,3,7,2024-01-22,Processing,COD
341,767,3,2,2023-05-18,Delivered,Credit Card
342,911,5,6,2023-08-24,Processing,UPI
343,953,5,6,2024-03-12,Shipped,Debit Card
344,886,4,6,2025-04-03,Shipped,Credit Card
345,560,4,1,2023-07-03,Shipped,COD
346,544,6,2,2024-01-03,Delivered,Credit Card
347,1028,5,2,2025-03-15,Returned,COD
348,202,1,2,2024-01-04,Delivered,COD
349,684,2,6,2023-09-14,Returned,Credit Card
350,391,6,3,2025-05-25,Processing,Credit Card
351,18,3,5,2025-04-22,Returned,Debit Card
352,831,5,1,2024-04-28,Processing,COD
353,815,2,4,2025-01-10,Cancelled,Debit Card
354,479,5,8,2025-01-09,Shipped,Credit Card
355,176,3,4,2024-03-15,Shipped,COD
356,899,4,1,2024-01-19,Cancelled,COD
357,626,6,1,2024-05-26,Returned,Credit Card
358,462,4,7,2024-12-03,Shipped,Credit Card
359,668,5,1,2024-08-04,Delivered,COD
360,315,3,7,2024-01-26,Cancelled,Debit Card
361,131,5,7,2023-07-12,Shipped,UPI
362,674,5,8,2024-10-16,Returned,UPI
363,352,1,3,2023-02-02,Processing,Debit Card
364,55,2,4,2023-03-13,Shipped,Credit Card
365,422,2,5,2024-11-06,Processing,UPI
366,932,1,6,2024-06-14,Delivered,COD
367,670,4,7,2023-06-10,Delivered,COD
368,1099,4,8,2025-01-30,Delivered,Debit Card
369,423,2,4,2023-11-14,Shipped,Debit Card
370,326,5,5,2024-08-24,Cancelled,Debit Card
371,565,2,1,2023-05-27,Shipped,UPI
372,818,5,4,2024-06-22,Returned,Debit Card
373,943,4,1,2025-01-24,Delivered,Credit Card
374,1324,4,6,2024-12-18,Returned,Debit Card
375,1256,2,7,2023-09-13,Cancelled,Debit Card
376,938,4,3,2024-12-16,Processing,UPI
377,806,6,1,2023-09-03,Cancelled,Credit Card
378,1287,5,5,2024-11-13,Delivered,COD
379,1011,4,2,2024-01-13,Delivered,UPI
380,1034,3,7,2024-04-06,Cancelled,Credit Card
381,425,5,1,2024-04-18,Delivered,UPI
382,1309,6,8,2024-01-26,Returned,Debit Card
383,399,4,1,2023-01-11,Returned,UPI
384,1453,2,6,2024-11-17,Shipped,Debit Card
385,945,1,2,2024-07-15,Cancelled,Debit Card
386,288,4,5,2025-05-11,Cancelled,COD
387,37,5,2,2023-07-01,Returned,UPI
388,1095,6,7,2023-06-22,Delivered,UPI
389,1388,3,3,2024-03-27,Returned,COD
390,444,6,1,2024-11-22,Processing,COD
391,906,6,1,2025-05-06,Processing,UPI
392,800,6,5,2024-03-30,Delivered,UPI
393,100,4,4,2023-09-13,Returned,COD
394,410,1,1,2024-03-07,Delivered,UPI
395,691,2,2,2023-08-14,Delivered,COD
396,1483,2,1,2024-03-01,Processing,UPI
397,670,3,4,2024-10-01,Cancelled,Debit Card
398,877,1,4,2023-08-07,Delivered,Credit Card
399,663,2,1,2024-02-16,Returned,UPI
400,798,2,8,2023-08-14,Delivered,Credit Card
401,1332,5,6,2023-02-14,Delivered,COD
402,842,3,8,2023-04-15,Processing,COD
403,516,1,6,2024-10-08,Shipped,COD
404,681,2,6,2025-05-21,Shipped,UPI
405,687,1,8,2024-01-27,Processing,COD
406,1032,5,1,2023-08-27,Delivered,UPI
407,633,2,7,2025-02-14,Cancelled,UPI
408,123,2,6,2024-05-25,Returned,COD
409,311,4,4,2024-10-19,Delivered,COD
410,1486,5,8,2025-01-26,Returned,COD
411,570,3,1,2024-06-17,Shipped,Credit Card
412,49,2,6,2023-12-17,Cancelled,COD
413,1105,1,4,2025-03-31,Cancelled,Debit Card
414,1068,3,3,2024-03-28,Delivered,UPI
415,1007,1,4,2023-02-23,Cancelled,COD
416,258,1,3,2024-08-29,Processing,COD
417,484,5,2,2024-03-12,Shipped,Credit Card
418,337,6,4,2023-09-08,Shipped,COD
419,1241,2,5,2023-10-20,Processing,Debit Card
420,1302,2,5,2025-06-02,Shipped,UPI
421,737,4,7,2023-06-21,Shipped,Debit Card
422,866,5,7,2025-02-17,Cancelled,Debit Card
423,41,4,7,2025-05-24,Delivered,Credit Card
424,1219,5,3,2024-07-20,Cancelled,Credit Card
425,780,4,5,2024-04-09,Returned,Debit Card
426,1152,5,8,2023-03-15,Returned,COD
427,1465,4,4,2023-06-08,Cancelled,UPI
428,27,5,6,2024-05-18,Shipped,Debit Card
429,809,6,6,2024-01-29,Shipped,Credit Card
430,1313,5,2,2024-02-23,Delivered,UPI
431,789,5,3,2023-07-18,Shipped,Credit Card
432,1480,3,8,2024-10-12,Returned,UPI
433,1334,4,7,2025-01-23,Cancelled,COD
434,979,1,6,2024-10-08,Delivered,COD
435,536,5,8,2024-11-28,Cancelled,Credit Card
436,507,5,3,2023-01-13,Delivered,UPI
437,1320,6,7,2024-02-12,Processing,UPI
438,1062,2,7,2023-06-19,Shipped,Credit Card
439,1417,3,7,2024-08-23,Returned,Debit Card
440,1491,1,2,2024-10-13,Processing,Credit Card
441,293,3,4,2025-02-05,Shipped,Credit Card
442,14,2,8,2023-01-02,Delivered,UPI
443,1427,4,7,2024-11-01,Returned,Debit Card
444,350,2,6,2023-07-10,Cancelled,COD
445,997,2,2,2024-04-06,Processing,COD
446,381,2,1,2025-02-06,Cancelled,COD
447,532,4,8,2024-10-03,Processing,UPI
448,1304,2,2,2023-10-28,Delivered,Debit Card
449,256,3,2,2023-12-17,Delivered,COD
450,979,4,2,2023-01-10,Delivered,Credit Card
451,15,6,1,2023-04-10,Cancelled,UPI
452,770,5,5,2024-05-12,Shipped,Credit Card
453,1238,4,6,2024-01-15,Returned,Credit Card
454,491,3,7,2024-01-23,Processing,UPI
455,730,3,2,2023-01-04,Shipped,Debit Card
456,1486,2,1,2024-09-08,Delivered,Credit Card
457,1433,2,6,2024-04-07,Processing,Debit Card
458,1055,4,4,2023-01-04,Returned,UPI
459,1298,3,1,2025-04-06,Returned,Debit Card
460,479,5,8,2024-02-14,Processing,UPI
461,714,4,8,2024-11-05,Delivered,Debit Card
462,602,5,4,2024-12-30,Cancelled,UPI
463,262,4,2,2023-11-05,Processing,Debit Card
464,345,4,2,2024-05-08,Processing,COD
465,499,2,3,2025-02-10,Delivered,UPI
466,891,6,1,2023-06-14,Returned,Debit Card
467,575,2,5,2024-11-12,Shipped,UPI
468,1363,2,8,2023-04-03,Returned,COD
469,1180,5,2,2024-10-21,Returned,Debit Card
470,1470,6,7,2024-10-31,Processing,Debit Card
471,478,2,5,2023-04-29,Returned,UPI
472,229,1,6,2025-01-28,Processing,COD
473,238,5,6,2023-05-11,Returned,Debit Card
474,1182,6,1,2023-11-15,Delivered,COD
475,795,4,6,2025-02-28,Returned,COD
476,1065,6,4,2023-04-20,Shipped,UPI
477,1103,4,6,2023-05-29,Returned,COD
478,1024,6,8,2023-05-31,Processing,Credit Card
479,299,6,1,2024-09-05,Returned,Credit Card
480,1029,6,2,2023-10-08,Processing,Debit Card
481,1293,2,8,2023-10-26,Shipped,UPI
482,683,2,4,2025-05-18,Cancelled,UPI
483,367,4,7,2023-11-03,Cancelled,UPI
484,1123,4,6,2024-03-08,Shipped,Credit Card
485,802,4,2,2024-06-24,Returned,Credit Card
486,1427,2,7,2023-04-10,Cancelled,Credit Card
487,1189,1,5,2024-04-13,Cancelled,COD
488,905,6,8,2023-10-26,Cancelled,COD
489,447,6,4,2025-01-22,Delivered,Credit Card
490,1487,5,2,2024-11-25,Cancelled,Debit Card
491,875,6,3,2023-02-27,Delivered,Credit Card
492,971,2,1,2023-05-01,Processing,Credit Card
493,1216,4,3,2024-10-04,Shipped,COD
494,70,1,4,2024-02-11,Shipped,Credit Card
495,1409,5,3,2024-10-30,Shipped,UPI
496,950,6,7,2023-10-09,Shipped,Credit Card
497,24,1,2,2023-03-26,Delivered,Debit Card
498,1314,6,4,2023-01-24,Processing,Debit Card
499,561,6,2,2025-03-24,Processing,COD
500,787,4,7,2023-11-02,Processing,COD
501,204,3,2,2024-12-31,Processing,COD
502,831,6,1,2024-02-08,Processing,Debit Card
503,131,5,2,2025-02-10,Cancelled,UPI
504,371,5,3,2023-01-06,Processing,Debit Card
505,644,1,1,2023-05-12,Processing,COD
506,1337,2,2,2024-07-29,Returned,UPI
507,174,1,5,2024-01-08,Processing,COD
508,867,6,1,2023-09-12,Returned,UPI
509,1064,3,8,2023-05-24,Processing,Debit Card
510,1424,3,6,2024-09-12,Processing,COD
511,1409,1,1,2023-08-31,Delivered,COD
512,291,3,4,2023-05-18,Processing,COD
513,1212,3,5,2023-05-12,Processing,Debit Card
514,153,5,5,2023-09-24,Shipped,COD
515,820,4,2,2023-09-18,Shipped,COD
516,1098,2,2,2024-10-06,Returned,COD
517,1464,3,3,2024-03-05,Cancelled,Credit Card
518,889,4,1,2024-09-10,Cancelled,UPI
519,554,1,2,2024-12-01,Processing,Debit Card
520,136,3,2,2024-01-07,Returned,Credit Card
521,300,2,5,2023-01-11,Delivered,Debit Card
522,456,4,2,2025-03-12,Delivered,COD
523,1079,6,5,2024-08-25,Shipped,UPI
524,1084,3,5,2024-07-18,Returned,UPI
525,99,2,6,2025-02-08,Shipped,COD
526,707,6,7,2024-05-03,Processing,COD
527,531,1,3,2024-11-04,Cancelled,COD
528,776,5,5,2023-02-24,Returned,COD
529,1389,5,7,2024-12-24,Shipped,COD
530,899,3,8,2024-05-29,Returned,Credit Card
531,877,5,4,2023-11-09,Delivered,Credit Card
532,833,3,2,2024-10-11,Delivered,UPI
533,1495,2,2,2023-06-19,Processing,UPI
534,174,6,5,2024-07-21,Shipped,UPI
535,869,6,3,2024-05-06,Shipped,UPI
536,831,1,4,2025-05-01,Delivered,Debit Card
537,1439,5,6,2023-09-08,Processing,UPI
538,1244,4,3,2024-11-21,Processing,COD
539,359,1,6,2025-05-09,Cancelled,Credit Card
540,105,4,8,2024-01-24,Cancelled,Credit Card
541,232,3,4,2025-05-01,Processing,UPI
542,595,3,8,2023-10-28,Returned,COD
543,5,6,7,2023-08-11,Returned,UPI
544,949,5,8,2023-02-28,Returned,UPI
545,1261,4,6,2023-11-02,Returned,UPI
546,11,3,3,2024-02-16,Returned,UPI
547,208,4,8,2023-07-22,Delivered,COD
548,842,1,8,2023-01-08,Cancelled,Credit Card
549,464,4,7,2024-01-19,Returned,Credit Card
550,878,2,5,2023-04-22,Shipped,Debit Card
551,332,2,6,2025-02-04,Shipped,UPI
552,736,6,4,2023-04-24,Cancelled,Credit Card
553,83,2,7,2024-03-07,Returned,UPI
554,329,6,4,2024-05-05,Returned,UPI
555,863,4,8,2025-03-30,Cancelled,Credit Card
556,819,5,7,2023-05-15,Delivered,UPI
557,44,2,3,2023-12-19,Processing,UPI
558,1402,2,1,2024-11-25,Returned,Debit Card
559,1223,6,1,2024-03-20,Shipped,Credit Card
560,578,4,2,2025-02-18,Shipped,COD
561,1265,2,3,2023-09-13,Returned,UPI
